FORMAT 2
KERNEL J
SOURCE (s|J|s)^(m)
SHELLS 4 6
ORDERS 6 10

# E <id> <alpha> <beta> <mu> <p>
E 0 2 0 0 -6
E 1 2 0 1 -6
E 2 2 0 2 -6
E 3 2 0 3 -6
E 4 2 0 4 -6

# G <id> <2k> <L> <M>
G 0 0 2 2
G 1 0 2 1
G 2 0 2 0
G 3 0 2 -2
G 4 0 2 -1
G 5 0 4 2
G 6 2 2 2
G 7 0 4 1
G 8 2 2 1
G 9 0 4 0
G 10 2 2 0
G 11 0 4 3
G 12 0 4 -4
G 13 0 4 -3
G 14 0 4 -2
G 15 2 2 -2
G 16 0 4 -1
G 17 2 2 -1
G 18 0 4 4
G 19 0 6 2
G 20 2 4 2
G 21 4 2 2
G 22 0 6 1
G 23 2 4 1
G 24 4 2 1
G 25 0 6 0
G 26 2 4 0
G 27 4 2 0
G 28 0 6 6
G 29 0 6 3
G 30 0 6 5
G 31 2 4 3
G 32 0 6 -4
G 33 2 4 -4
G 34 0 6 -5
G 35 0 6 -3
G 36 2 4 -3
G 37 0 6 -6
G 38 0 6 -2
G 39 2 4 -2
G 40 4 2 -2
G 41 0 6 -1
G 42 2 4 -1
G 43 4 2 -1
G 44 0 6 4
G 45 2 4 4
G 46 0 8 2
G 47 2 6 2
G 48 4 4 2
G 49 6 2 2
G 50 0 8 1
G 51 2 6 1
G 52 4 4 1
G 53 6 2 1
G 54 0 8 0
G 55 0 8 8
G 56 2 6 0
G 57 4 4 0
G 58 6 2 0
G 59 0 8 7
G 60 0 8 6
G 61 2 6 6
G 62 0 8 3
G 63 0 8 5
G 64 2 6 3
G 65 2 6 5
G 66 4 4 3
G 67 0 8 -4
G 68 2 6 -4
G 69 4 4 -4
G 70 0 8 -5
G 71 0 8 -3
G 72 2 6 -5
G 73 2 6 -3
G 74 4 4 -3
G 75 0 8 -6
G 76 0 8 -2
G 77 2 6 -6
G 78 2 6 -2
G 79 4 4 -2
G 80 6 2 -2
G 81 0 8 -7
G 82 0 8 -1
G 83 2 6 -1
G 84 4 4 -1
G 85 6 2 -1
G 86 0 8 -8
G 87 0 8 4
G 88 2 6 4
G 89 4 4 4
G 90 0 10 2
G 91 0 10 10
G 92 2 8 2
G 93 4 6 2
G 94 6 4 2
G 95 8 2 2
G 96 0 10 1
G 97 0 10 9
G 98 2 8 1
G 99 4 6 1
G 100 6 4 1
G 101 8 2 1
G 102 0 10 0
G 103 0 10 8
G 104 2 8 0
G 105 2 8 8
G 106 4 6 0
G 107 6 4 0
G 108 8 2 0
G 109 0 10 7
G 110 2 8 7
G 111 0 10 6
G 112 2 8 6
G 113 4 6 6
G 114 0 10 3
G 115 0 10 5
G 116 2 8 3
G 117 2 8 5
G 118 4 6 3
G 119 4 6 5
G 120 6 4 3
G 121 0 10 -4
G 122 2 8 -4
G 123 4 6 -4
G 124 6 4 -4
G 125 0 10 -5
G 126 0 10 -3
G 127 2 8 -5
G 128 2 8 -3
G 129 4 6 -5
G 130 4 6 -3
G 131 6 4 -3
G 132 0 10 -6
G 133 0 10 -2
G 134 2 8 -6
G 135 2 8 -2
G 136 4 6 -6
G 137 4 6 -2
G 138 6 4 -2
G 139 8 2 -2
G 140 0 10 -7
G 141 0 10 -1
G 142 2 8 -7
G 143 2 8 -1
G 144 4 6 -1
G 145 6 4 -1
G 146 8 2 -1
G 147 0 10 -8
G 148 2 8 -8
G 149 0 10 -9
G 150 0 10 -10
G 151 0 10 4
G 152 2 8 4
G 153 4 6 4
G 154 6 4 4

# TABLE <l> <l'> <rows> [SYMMETRIC]
# ROW <m> <m'> <terms>
# T <prefactor> <num> <den> <radicand> <geometry> <boys order>

TABLE 4 6 117
ROW -4 -6 16
T 0  315 32 110  0  6
T 1  15 4 66  5  7
T 1  -45 4 110  6  7
T 2  15 44 77  19  8
T 2  -45 22 66  20  8
T 2  15 4 110  21  8
T 3  1 143 231  46  9
T 3  -1 11 77  47  9
T 3  45 143 66  48  9
T 3  -5 11 110  49  9
T 4  7 8398 2  90  10
T 4  -7 4199 62985  91  10
T 4  -2 2717 231  92  10
T 4  1 187 77  93  10
T 4  -2 143 66  94  10
T 4  5 286 110  95  10
ROW -4 -5 16
T 0  105 32 330  1  6
T 1  45 4 11  7  7
T 1  -15 4 330  8  7
T 2  5 44 2310  22  8
T 2  -135 22 11  23  8
T 2  5 4 330  24  8
T 3  7 286 110  50  9
T 3  -1 33 2310  51  9
T 3  135 143 11  52  9
T 3  -5 33 330  53  9
T 4  21 8398 2  96  10
T 4  -21 4199 4199  97  10
T 4  -7 2717 110  98  10
T 4  1 561 2310  99  10
T 4  -6 143 11  100  10
T 4  5 858 330  101  10
ROW -4 -4 18
T 0  315 16 5  2  6
T 1  45 2 5  9  7
T 1  -45 2 5  10  7
T 2  105 22 5  25  8
T 2  -135 11 5  26  8
T 2  15 2 5  27  8
T 3  42 143 5  54  9
T 3  -14 143 143  55  9
T 3  -14 11 5  56  9
T 3  270 143 5  57  9
T 3  -10 11 5  58  9
T 4  21 4199 5  102  10
T 4  -21 4199 2431  103  10
T 4  -84 2717 5  104  10
T 4  28 2717 143  105  10
T 4  14 187 5  106  10
T 4  -12 143 5  107  10
T 4  5 143 5  108  10
ROW -4 -3 18
T 0  -315 32 2  1  6
T 1  -15 2 15  7  7
T 1  45 4 2  8  7
T 2  -105 44 14  22  8
T 2  45 11 15  23  8
T 2  -15 4 2  24  8
T 3  -42 143 6  50  9
T 3  -7 286 4290  59  9
T 3  7 11 14  51  9
T 3  -90 143 15  52  9
T 3  5 11 2  53  9
T 4  -7 8398 330  96  10
T 4  -7 4199 12155  109  10
T 4  84 2717 6  98  10
T 4  7 2717 4290  110  10
T 4  -7 187 14  99  10
T 4  4 143 15  100  10
T 4  -5 286 2  101  10
ROW -4 -2 21
T 0  105 32 2  0  6
T 1  15 4 30  5  7
T 1  -15 4 2  6  7
