FORMAT 2
KERNEL J
SOURCE (s|J|s)^(m)
SHELLS 5 4
ORDERS 5 9

# E <id> <alpha> <beta> <mu> <p>
E 0 0 1 0 -5
E 1 0 1 1 -5
E 2 0 1 2 -5
E 3 0 1 3 -5
E 4 0 1 4 -5

# G <id> <2k> <L> <M>
G 0 0 1 1
G 1 0 1 -1
G 2 0 1 0
G 3 0 3 1
G 4 2 1 1
G 5 0 3 2
G 6 0 3 3
G 7 0 3 -3
G 8 0 3 -2
G 9 0 3 -1
G 10 2 1 -1
G 11 0 3 0
G 12 2 1 0
G 13 0 5 1
G 14 2 3 1
G 15 4 1 1
G 16 0 5 2
G 17 2 3 2
G 18 0 5 3
G 19 2 3 3
G 20 0 5 4
G 21 0 5 -5
G 22 0 5 -4
G 23 0 5 -3
G 24 2 3 -3
G 25 0 5 -2
G 26 2 3 -2
G 27 0 5 -1
G 28 2 3 -1
G 29 4 1 -1
G 30 0 5 0
G 31 2 3 0
G 32 4 1 0
G 33 0 5 5
G 34 0 7 1
G 35 2 5 1
G 36 4 3 1
G 37 6 1 1
G 38 0 7 2
G 39 2 5 2
G 40 4 3 2
G 41 0 7 3
G 42 0 7 7
G 43 2 5 3
G 44 4 3 3
G 45 0 7 4
G 46 0 7 6
G 47 2 5 4
G 48 0 7 -5
G 49 2 5 -5
G 50 0 7 -6
G 51 0 7 -4
G 52 2 5 -4
G 53 0 7 -7
G 54 0 7 -3
G 55 2 5 -3
G 56 4 3 -3
G 57 0 7 -2
G 58 2 5 -2
G 59 4 3 -2
G 60 0 7 -1
G 61 2 5 -1
G 62 4 3 -1
G 63 6 1 -1
G 64 0 7 0
G 65 2 5 0
G 66 4 3 0
G 67 6 1 0
G 68 0 7 5
G 69 2 5 5
G 70 0 9 1
G 71 0 9 9
G 72 2 7 1
G 73 4 5 1
G 74 6 3 1
G 75 8 1 1
G 76 0 9 2
G 77 0 9 8
G 78 2 7 2
G 79 4 5 2
G 80 6 3 2
G 81 0 9 3
G 82 0 9 7
G 83 2 7 3
G 84 2 7 7
G 85 4 5 3
G 86 6 3 3
G 87 0 9 4
G 88 0 9 6
G 89 2 7 4
G 90 2 7 6
G 91 4 5 4
G 92 0 9 -5
G 93 2 7 -5
G 94 4 5 -5
G 95 0 9 -6
G 96 0 9 -4
G 97 2 7 -6
G 98 2 7 -4
G 99 4 5 -4
G 100 0 9 -7
G 101 0 9 -3
G 102 2 7 -7
G 103 2 7 -3
G 104 4 5 -3
G 105 6 3 -3
G 106 0 9 -8
G 107 0 9 -2
G 108 2 7 -2
G 109 4 5 -2
G 110 6 3 -2
G 111 0 9 -9
G 112 0 9 -1
G 113 2 7 -1
G 114 4 5 -1
G 115 6 3 -1
G 116 8 1 -1
G 117 0 9 0
G 118 2 7 0
G 119 4 5 0
G 120 6 3 0
G 121 8 1 0
G 122 0 9 5
G 123 2 7 5
G 124 4 5 5

# TABLE <l> <l'> <rows> [SYMMETRIC]
# ROW <m> <m'> <terms>
# T <prefactor> <num> <den> <radicand> <geometry> <boys order>

TABLE 5 4 99
ROW -5 -4 16
T 0  -315 32 10  0  5
T 1  -21 4 15  3  6
T 1  63 4 10  4  6
T 2  -5 4 6  13  7
T 2  7 2 15  14  7
T 2  -27 4 10  15  7
