FORMAT 2
KERNEL J
SOURCE (s|J|s)^(m)
SHELLS 6 5
ORDERS 6 11

# E <id> <alpha> <beta> <mu> <p>
E 0 0 1 0 -6
E 1 0 1 1 -6
E 2 0 1 2 -6
E 3 0 1 3 -6
E 4 0 1 4 -6
E 5 0 1 5 -6

# G <id> <2k> <L> <M>
G 0 0 1 1
G 1 0 1 -1
G 2 0 1 0
G 3 0 3 1
G 4 2 1 1
G 5 0 3 2
G 6 0 3 3
G 7 0 3 -3
G 8 0 3 -2
G 9 0 3 -1
G 10 2 1 -1
G 11 0 3 0
G 12 2 1 0
G 13 0 5 1
G 14 2 3 1
G 15 4 1 1
G 16 0 5 2
G 17 2 3 2
G 18 0 5 3
G 19 2 3 3
G 20 0 5 4
G 21 0 5 5
G 22 0 5 -5
G 23 0 5 -4
G 24 0 5 -3
G 25 2 3 -3
G 26 0 5 -2
G 27 2 3 -2
G 28 0 5 -1
G 29 2 3 -1
G 30 4 1 -1
G 31 0 5 0
G 32 2 3 0
G 33 4 1 0
G 34 0 7 1
G 35 2 5 1
G 36 4 3 1
G 37 6 1 1
G 38 0 7 2
G 39 2 5 2
G 40 4 3 2
G 41 0 7 3
G 42 2 5 3
G 43 4 3 3
G 44 0 7 4
G 45 2 5 4
G 46 0 7 5
G 47 0 7 7
G 48 2 5 5
G 49 0 7 -6
G 50 0 7 -7
G 51 0 7 -5
G 52 2 5 -5
G 53 0 7 -4
G 54 2 5 -4
G 55 0 7 -3
G 56 2 5 -3
G 57 4 3 -3
G 58 0 7 -2
G 59 2 5 -2
G 60 4 3 -2
G 61 0 7 -1
G 62 2 5 -1
G 63 4 3 -1
G 64 6 1 -1
G 65 0 7 0
G 66 2 5 0
G 67 4 3 0
G 68 6 1 0
G 69 0 7 6
G 70 0 9 1
G 71 2 7 1
G 72 4 5 1
G 73 6 3 1
G 74 8 1 1
G 75 0 9 2
G 76 2 7 2
G 77 4 5 2
G 78 6 3 2
G 79 0 9 3
G 80 0 9 9
G 81 2 7 3
G 82 4 5 3
G 83 6 3 3
G 84 0 9 4
G 85 0 9 8
G 86 2 7 4
G 87 4 5 4
G 88 0 9 5
G 89 0 9 7
G 90 2 7 5
G 91 2 7 7
G 92 4 5 5
G 93 0 9 -6
G 94 2 7 -6
G 95 0 9 -7
G 96 0 9 -5
G 97 2 7 -7
G 98 2 7 -5
G 99 4 5 -5
G 100 0 9 -8
G 101 0 9 -4
G 102 2 7 -4
G 103 4 5 -4
G 104 0 9 -9
G 105 0 9 -3
G 106 2 7 -3
G 107 4 5 -3
G 108 6 3 -3
G 109 0 9 -2
G 110 2 7 -2
G 111 4 5 -2
G 112 6 3 -2
G 113 0 9 -1
G 114 2 7 -1
G 115 4 5 -1
G 116 6 3 -1
G 117 8 1 -1
G 118 0 9 0
G 119 2 7 0
G 120 4 5 0
G 121 6 3 0
G 122 8 1 0
G 123 0 9 6
G 124 2 7 6
G 125 0 11 1
G 126 0 11 11
G 127 2 9 1
G 128 4 7 1
G 129 6 5 1
G 130 8 3 1
G 131 10 1 1
G 132 0 11 2
G 133 0 11 10
G 134 2 9 2
G 135 4 7 2
G 136 6 5 2
G 137 8 3 2
G 138 0 11 3
G 139 0 11 9
G 140 2 9 3
G 141 2 9 9
G 142 4 7 3
