FORMAT 1
KERNEL T
SOURCE (s|S|s)
SHELLS 5 4

# E <id> <alpha> <beta> <mu> <p>
E 0 0 1 1 -5
E 1 0 1 2 -5
E 2 0 1 3 -5
E 3 0 1 4 -5
E 4 0 1 5 -5
E 5 0 1 6 -5

# G <id> <2k> <L> <M>
G 0 0 1 1
G 1 0 3 1
G 2 2 1 1
G 3 0 5 1
G 4 2 3 1
G 5 4 1 1
G 6 0 7 1
G 7 2 5 1
G 8 4 3 1
G 9 6 1 1
G 10 0 9 1
G 11 0 9 9
G 12 2 7 1
G 13 4 5 1
G 14 6 3 1
G 15 8 1 1
G 16 2 9 1
G 17 2 9 9
G 18 4 7 1
G 19 6 5 1
G 20 8 3 1
G 21 10 1 1
G 22 0 3 2
G 23 0 5 2
G 24 2 3 2
G 25 0 7 2
G 26 2 5 2
G 27 4 3 2
G 28 0 9 2
G 29 0 9 8
G 30 2 7 2
G 31 4 5 2
G 32 6 3 2
G 33 2 9 2
G 34 2 9 8
G 35 4 7 2
G 36 6 5 2
G 37 8 3 2
G 38 0 3 3
G 39 0 5 3
G 40 2 3 3
G 41 0 7 3
G 42 0 7 7
G 43 2 5 3
G 44 4 3 3
G 45 0 9 3
G 46 0 9 7
G 47 2 7 3
G 48 2 7 7
G 49 4 5 3
G 50 6 3 3
G 51 2 9 3
G 52 2 9 7
G 53 4 7 3
G 54 4 7 7
G 55 6 5 3
G 56 8 3 3
G 57 0 5 4
G 58 0 7 4
G 59 0 7 6
G 60 2 5 4
G 61 0 9 4
G 62 0 9 6
G 63 2 7 4
G 64 2 7 6
G 65 4 5 4
G 66 2 9 4
G 67 2 9 6
G 68 4 7 4
G 69 4 7 6
G 70 6 5 4
G 71 0 5 -5
G 72 0 7 -5
G 73 2 5 -5
G 74 0 9 -5
G 75 2 7 -5
G 76 4 5 -5
G 77 2 9 -5
G 78 4 7 -5
G 79 6 5 -5
G 80 0 5 -4
G 81 0 7 -6
G 82 0 7 -4
G 83 2 5 -4
G 84 0 9 -6
G 85 0 9 -4
G 86 2 7 -6
G 87 2 7 -4
G 88 4 5 -4
G 89 2 9 -6
G 90 2 9 -4
G 91 4 7 -6
G 92 4 7 -4
G 93 6 5 -4
G 94 0 3 -3
G 95 0 5 -3
G 96 2 3 -3
G 97 0 7 -7
G 98 0 7 -3
G 99 2 5 -3
G 100 4 3 -3
G 101 0 9 -7
G 102 0 9 -3
G 103 2 7 -7
G 104 2 7 -3
G 105 4 5 -3
G 106 6 3 -3
G 107 2 9 -7
G 108 2 9 -3
G 109 4 7 -7
G 110 4 7 -3
G 111 6 5 -3
G 112 8 3 -3
G 113 0 3 -2
G 114 0 5 -2
G 115 2 3 -2
