FORMAT 1
KERNEL S
SOURCE (s|S|s)
SHELLS 5 6

# E <id> <alpha> <beta> <mu> <p>
E 0 1 0 1 -6
E 1 1 0 2 -6
E 2 1 0 3 -6
E 3 1 0 4 -6
E 4 1 0 5 -6
E 5 1 0 0 -6

# G <id> <2k> <L> <M>
G 0 0 3 1
G 1 2 1 1
G 2 0 5 1
G 3 2 3 1
G 4 4 1 1
G 5 0 7 1
G 6 2 5 1
G 7 4 3 1
G 8 6 1 1
G 9 0 9 1
G 10 2 7 1
G 11 4 5 1
G 12 6 3 1
G 13 8 1 1
G 14 0 11 1
G 15 0 11 11
G 16 2 9 1
G 17 4 7 1
G 18 6 5 1
G 19 8 3 1
G 20 10 1 1
G 21 0 1 1
G 22 0 3 0
G 23 2 1 0
G 24 0 5 0
G 25 2 3 0
G 26 4 1 0
G 27 0 7 0
G 28 2 5 0
G 29 4 3 0
G 30 6 1 0
G 31 0 9 0
G 32 2 7 0
G 33 4 5 0
G 34 6 3 0
G 35 8 1 0
G 36 0 11 0
G 37 0 11 10
G 38 2 9 0
G 39 4 7 0
G 40 6 5 0
G 41 8 3 0
G 42 10 1 0
G 43 0 1 0
G 44 0 9 9
G 45 0 11 9
G 46 2 9 9
G 47 0 3 2
G 48 0 5 2
G 49 2 3 2
G 50 0 7 2
G 51 2 5 2
G 52 4 3 2
G 53 0 9 2
G 54 0 9 8
G 55 2 7 2
G 56 4 5 2
G 57 6 3 2
G 58 0 11 2
G 59 0 11 8
G 60 2 9 2
G 61 2 9 8
G 62 4 7 2
G 63 6 5 2
G 64 8 3 2
G 65 0 3 3
G 66 0 5 3
G 67 2 3 3
G 68 0 7 3
G 69 0 7 7
G 70 2 5 3
G 71 4 3 3
G 72 0 9 3
G 73 0 9 7
G 74 2 7 3
G 75 2 7 7
G 76 4 5 3
G 77 6 3 3
G 78 0 11 3
G 79 0 11 7
G 80 2 9 3
G 81 2 9 7
G 82 4 7 3
G 83 4 7 7
G 84 6 5 3
G 85 8 3 3
G 86 0 5 4
G 87 0 7 4
G 88 0 7 6
G 89 2 5 4
G 90 0 9 4
G 91 0 9 6
G 92 2 7 4
G 93 2 7 6
G 94 4 5 4
G 95 0 11 4
G 96 0 11 6
G 97 2 9 4
G 98 2 9 6
G 99 4 7 4
G 100 4 7 6
G 101 6 5 4
G 102 0 5 -5
G 103 0 7 -5
G 104 2 5 -5
G 105 0 9 -5
G 106 2 7 -5
G 107 4 5 -5
G 108 0 11 -5
G 109 2 9 -5
G 110 4 7 -5
G 111 6 5 -5
G 112 0 5 -4
G 113 0 7 -6
G 114 0 7 -4
G 115 2 5 -4
G 116 0 9 -6
G 117 0 9 -4
G 118 2 7 -6
G 119 2 7 -4
G 120 4 5 -4
G 121 0 11 -6
G 122 0 11 -4
G 123 2 9 -6
G 124 2 9 -4
G 125 4 7 -6
G 126 4 7 -4
G 127 6 5 -4
G 128 0 3 -3
G 129 0 5 -3
G 130 2 3 -3
G 131 0 7 -7
G 132 0 7 -3
G 133 2 5 -3
G 134 4 3 -3
G 135 0 9 -7
G 136 0 9 -3
G 137 2 7 -7
G 138 2 7 -3
G 139 4 5 -3
G 140 6 3 -3
G 141 0 11 -7
G 142 0 11 -3
G 143 2 9 -7
G 144 2 9 -3
G 145 4 7 -7
G 146 4 7 -3
G 147 6 5 -3
G 148 8 3 -3
G 149 0 3 -2
G 150 0 5 -2
G 151 2 3 -2
G 152 0 7 -2
G 153 2 5 -2
G 154 4 3 -2
G 155 0 9 -8
G 156 0 9 -2
G 157 2 7 -2
G 158 4 5 -2
G 159 6 3 -2
G 160 0 11 -8
G 161 0 11 -2
G 162 2 9 -8
G 163 2 9 -2
G 164 4 7 -2
G 165 6 5 -2
G 166 8 3 -2
G 167 0 3 -1
G 168 2 1 -1
G 169 0 5 -1
G 170 2 3 -1
