This file contains data from article
"Averaged Solvent Embedding Potential Parameters for Multiscale Modeling of Molecular Properties",
by M. T. P. Beerepoot, A. H. Steindal, N. H. List, J. Kongsted, J. M. H. Olsen,
DOI: 10.1021/acs.jctc.5b01000.
Supporting Information
Table SI-I
--------------------------------------------
RESNAME,ATOMNAME,q,axx,axy,axz,ayy,ayz,azz
WAT,OW,-0.67444,5.73935,0.0,0.0,5.73935,0.0,5.73935
WAT,HW,0.33722,2.30839,0.0,0.0,2.30839,0.0,2.30839
WAT,HW1,0.33722,2.30839,0.0,0.0,2.30839,0.0,2.30839
WAT,HW2,0.33722,2.30839,0.0,0.0,2.30839,0.0,2.30839
HOH,OW,-0.67444,5.73935,0.0,0.0,5.73935,0.0,5.73935
HOH,HW,0.33722,2.30839,0.0,0.0,2.30839,0.0,2.30839
HOH,HW1,0.33722,2.30839,0.0,0.0,2.30839,0.0,2.30839
HOH,HW2,0.33722,2.30839,0.0,0.0,2.30839,0.0,2.30839
SOL,OW,-0.67444,5.73935,0.0,0.0,5.73935,0.0,5.73935
SOL,HW,0.33722,2.30839,0.0,0.0,2.30839,0.0,2.30839
SOL,HW1,0.33722,2.30839,0.0,0.0,2.30839,0.0,2.30839
SOL,HW2,0.33722,2.30839,0.0,0.0,2.30839,0.0,2.30839
MTL,C,0.18382,6.42738,0.0,0.0,6.42738,0.0,6.42738
MTL,O,-0.59543,5.60297,0.0,0.0,5.60297,0.0,5.60297
MTL,HC,0.01031,2.50587,0.0,0.0,2.50587,0.0,2.50587
MTL,HO,0.38068,1.85100,0.0,0.0,1.85100,0.0,1.85100
ETL,C2,-0.29149,6.96636,0.0,0.0,6.96636,0.0,6.96636
ETL,C1,0.46155,6.71482,0.0,0.0,6.71482,0.0,6.71482
ETL,O,-0.64779,5.43599,0.0,0.0,5.43599,0.0,5.43599
ETL,H2,0.07114,2.58899,0.0,0.0,2.58899,0.0,2.58899
ETL,H1,-0.05680,2.60105,0.0,0.0,2.60105,0.0,2.60105
ETL,HO,0.37791,2.04999,0.0,0.0,2.04999,0.0,2.04999
PRL,C3,-0.20048,6.87397,0.0,0.0,6.87397,0.0,6.87397
PRL,C2,0.06032,7.09144,0.0,0.0,7.09144,0.0,7.09144
PRL,C1,0.26720,6.73554,0.0,0.0,6.73554,0.0,6.73554
PRL,O,-0.63447,5.36537,0.0,0.0,5.36537,0.0,5.36537
PRL,H3,0.04946,2.56215,0.0,0.0,2.56215,0.0,2.56215
PRL,H2,0.00238,2.58205,0.0,0.0,2.58205,0.0,2.58205
PRL,H1,-0.01521,2.59075,0.0,0.0,2.59075,0.0,2.59075
PRL,HO,0.38471,2.01746,0.0,0.0,2.01746,0.0,2.01746
FOR,HC,0.08889,2.52195,0.0,0.0,2.52195,0.0,2.52195
FOR,C,0.53375,7.42106,0.0,0.0,7.42106,0.0,7.42106
FOR,O,-0.49944,5.69005,0.0,0.0,5.69005,0.0,5.69005
FOR,HO,0.44069,1.90088,0.0,0.0,1.90088,0.0,1.90088
FOR,OH,-0.56389,5.45949,0.0,0.0,5.45949,0.0,5.45949
FRM,O,-0.51671,6.20124,0.0,0.0,6.20124,0.0,6.20124
FRM,C,0.52831,8.10950,0.0,0.0,8.10950,0.0,8.10950
FRM,N,-0.72791,6.66352,0.0,0.0,6.66352,0.0,6.66352
FRM,HC,0.01015,2.83651,0.0,0.0,2.83651,0.0,2.83651
FRM,HN,0.35308,2.26518,0.0,0.0,2.26518,0.0,2.26518
DMS,C,-0.28061,8.40024,0.0,0.0,8.40024,0.0,8.40024
DMS,S,0.24198,14.92582,0.0,0.0,14.92582,0.0,14.92582
DMS,O,-0.44636,7.54139,0.0,0.0,7.54139,0.0,7.54139
DMS,H,0.12760,2.55569,0.0,0.0,2.55569,0.0,2.55569
PRC,O1,-0.40892,5.09781,0.0,0.0,5.09781,0.0,5.09781
PRC,C1,0.38218,6.26783,0.0,0.0,6.26783,0.0,6.26783
PRC,C2,0.19825,5.90126,0.0,0.0,5.90126,0.0,5.90126
PRC,O2,-0.37004,5.21390,0.0,0.0,5.21390,0.0,5.21390
PRC,C3,-0.49200,6.76455,0.0,0.0,6.76455,0.0,6.76455
PRC,C4,0.80281,7.82828,0.0,0.0,7.82828,0.0,7.82828
PRC,O3,-0.56716,6.35162,0.0,0.0,6.35162,0.0,6.35162
PRC,H1,0.01277,2.52143,0.0,0.0,2.52143,0.0,2.52143
PRC,H2,0.01185,2.41556,0.0,0.0,2.41556,0.0,2.41556
PRC,H3,0.13947,2.46080,0.0,0.0,2.46080,0.0,2.46080
DCM,Cl,-0.05512,14.48529,0.0,0.0,14.48529,0.0,14.48529
DCM,C,-0.31546,10.06117,0.0,0.0,10.06117,0.0,10.06117
DCM,H,0.21285,2.51584,0.0,0.0,2.51584,0.0,2.51584
ACE,CO,0.71719,7.92284,0.0,0.0,7.92284,0.0,7.92284
ACE,CH,-0.45789,7.19331,0.0,0.0,7.19331,0.0,7.19331
ACE,O,-0.53671,5.83421,0.0,0.0,5.83421,0.0,5.83421
ACE,H,0.12255,2.50309,0.0,0.0,2.50309,0.0,2.50309
DEE,C2,-0.29619,7.10478,0.0,0.0,7.10478,0.0,7.10478
DEE,H2,0.07524,2.58403,0.0,0.0,2.58403,0.0,2.58403
DEE,C1,0.36805,6.98709,0.0,0.0,6.98709,0.0,6.98709
DEE,H1,-0.04045,2.62941,0.0,0.0,2.62941,0.0,2.62941
DEE,O,-0.43336,5.82582,0.0,0.0,5.82582,0.0,5.82582
THF,C1,0.22575,6.42111,0.0,0.0,6.42111,0.0,6.42111
THF,H1,-0.00177,2.63818,0.0,0.0,2.63818,0.0,2.63818
THF,C2,-0.04339,6.73355,0.0,0.0,6.73355,0.0,6.73355
THF,H2,0.01731,2.56256,0.0,0.0,2.56256,0.0,2.56256
THF,O,-0.42688,5.41568,0.0,0.0,5.41568,0.0,5.41568
TOL,C1,-0.48679,7.31076,0.0,0.0,7.31076,0.0,7.31076
TOL,H1,0.12857,2.57127,0.0,0.0,2.57127,0.0,2.57127
TOL,C2,0.34481,9.41904,0.0,0.0,9.41904,0.0,9.41904
TOL,C3,-0.26155,9.19246,0.0,0.0,9.19246,0.0,9.19246
TOL,H3,0.13992,2.71511,0.0,0.0,2.71511,0.0,2.71511
TOL,C4,-0.10270,9.25031,0.0,0.0,9.25031,0.0,9.25031
TOL,H4,0.12153,2.83538,0.0,0.0,2.83538,0.0,2.83538
TOL,C5,-0.16049,9.20304,0.0,0.0,9.20304,0.0,9.20304
TOL,H5,0.12236,2.88794,0.0,0.0,2.88794,0.0,2.88794
BEN,C,-0.11186,9.02146,0.0,0.0,9.02146,0.0,9.02146
BEN,H,0.11186,2.79156,0.0,0.0,2.79156,0.0,2.79156
HEX,C1,-0.22011,7.05133,0.0,0.0,7.05133,0.0,7.05133
HEX,C2,0.14687,7.17271,0.0,0.0,7.17271,0.0,7.17271
HEX,C3,-0.04616,7.20426,0.0,0.0,7.20426,0.0,7.20426
HEX,H1,0.04816,2.63085,0.0,0.0,2.63085,0.0,2.63085
HEX,H2,-0.02291,2.55841,0.0,0.0,2.55841,0.0,2.55841
HEX,H3,0.01037,2.52112,0.0,0.0,2.52112,0.0,2.52112
CHL,Cl,0.02469,14.29891,0.0,0.0,14.29891,0.0,14.29891
CHL,C,-0.34805,12.68519,0.0,0.0,12.68519,0.0,12.68519
CHL,H,0.27398,2.61349,0.0,0.0,2.61349,0.0,2.61349
TET,C,-0.47432,15.15766,0.0,0.0,15.15766,0.0,15.15766
TET,Cl,0.11858,14.07009,0.0,0.0,14.07009,0.0,14.07009
PHN,C1,-0.25722,9.19780,0.0,0.0,9.19780,0.0,9.19780
PHN,H1,0.15054,2.75387,0.0,0.0,2.75387,0.0,2.75387
PHN,C2,-0.10722,9.13020,0.0,0.0,9.13020,0.0,9.13020
PHN,H2,0.12766,2.77871,0.0,0.0,2.77871,0.0,2.77871
PHN,C3,-0.16229,9.24398,0.0,0.0,9.24398,0.0,9.24398
PHN,H3,0.12068,2.88251,0.0,0.0,2.88251,0.0,2.88251
PHN,CO,0.36980,9.26636,0.0,0.0,9.26636,0.0,9.26636
PHN,O,-0.49794,5.63527,0.0,0.0,5.63527,0.0,5.63527
PHN,HO,0.34223,1.93145,0.0,0.0,1.93145,0.0,1.93145
